game_id,date,season,status,home_team_id,away_team_id,home_team_name,away_team_name,home_runs,away_runs,runs_diff,winner,home_days_since_last_game,away_days_since_last_game,home_win_streak,away_win_streak,spread_home,odd_home_american,odd_home_decimal,odd_sign_home,spread_away,odd_away_american,odd_away_decimal,odd_sign_away,predicted_winner,model_prob_home,model_prob_away,predicted_diff,diff_vs_line_home,diff_vs_line_away,implied_prob_home,implied_prob_away,edge_home,edge_away,ev_home,ev_away,cover_streak_home_10,cover_streak_away_10,cover_team,predicted_cover,prob_cover_away,prob_cover_home,stake,profit
1835,2025-03-27,2025,STATUS_FINAL,28,4,Texas Rangers,Boston Red Sox,2.0000000000,5.0000000000,3.0000000000,0,179,179,3,1,1.5000000000,-165,1.6060606061,0,-1.5000000000,150,2.5000000000,1,1,0.5468810096,0.4531189904,3.9342890294,5.4342890294,2.4342890294,0.6226415094,0.4000000000,-0.0757604998,0.0531189904,-0.1216759542,0.1327974759,1,4,0,1,0.3041565024,0.6958434976,20000.0000000000,-20000.0000000000
1993,2025-03-28,2025,STATUS_FINAL,28,4,Texas Rangers,Boston Red Sox,4.0000000000,1.0000000000,3.0000000000,1,1,1,0,2,1.5000000000,-160,1.6250000000,0,-1.5000000000,140,2.4000000000,1,1,0.5473775689,0.4526224311,3.7716806774,5.2716806774,2.2716806774,0.6153846154,0.4166666667,-0.0680070465,0.0359557644,-0.1105114505,0.0862938346,1,4,1,1,0.4098250553,0.5901749447,20000.0000000000,12500.0000000000
1994,2025-03-28,2025,STATUS_FINAL,23,2,San Diego Padres,Atlanta Braves,4.0000000000,3.0000000000,1.0000000000,1,1,1,1,0,-1.5000000000,150,2.5000000000,1,1.5000000000,-180,1.5555555556,0,0,0.4599120775,0.5400879225,3.5930232719,2.0930232719,5.0930232719,0.4000000000,0.6428571429,0.0599120775,-0.1027692203,0.1497801936,-0.1598632316,3,2,0,0,0.6317016036,0.3682983964,20000.0000000000,11111.1111111111
2327,2025-03-29,2025,STATUS_FINAL,29,3,Toronto Blue Jays,Baltimore Orioles,5.0000000000,9.0000000000,4.0000000000,0,1,1,1,0,-1.5000000000,150,2.5000000000,1,1.5000000000,-180,1.5555555556,0,0,0.4669787507,0.5330212493,3.5534761054,2.0534761054,5.0534761054,0.4000000000,0.6428571429,0.0669787507,-0.1098358935,0.1674468766,-0.1708558343,2,0,0,0,0.6380047884,0.3619952116,20000.0000000000,11111.1111111111
2329,2025-03-29,2025,STATUS_FINAL,19,16,New York Yankees,Milwaukee Brewers,20.0000000000,9.0000000000,11.0000000000,1,2,2,1,0,-1.5000000000,129,2.2900000000,1,1.5000000000,-142,1.7042253521,0,1,0.5089953210,0.4910046790,3.6461698260,2.1461698260,5.1461698260,0.4366812227,0.5867768595,0.0723140983,-0.0957721805,0.1655992850,-0.1632173780,3,3,1,0,0.5965945067,0.4034054933,20000.0000000000,-20000.0000000000
2332,2025-03-29,2025,STATUS_FINAL,7,24,Cincinnati Reds,San Francisco Giants,3.0000000000,2.0000000000,1.0000000000,1,2,2,0,1,-1.5000000000,166,2.6600000000,1,1.5000000000,-183,1.5464480874,0,1,0.5135529621,0.4864470379,3.5875475489,2.0875475489,5.0875475489,0.3759398496,0.6466431095,0.1376131125,-0.1601960716,0.3660508792,-0.2477349086,2,0,0,0,0.6365632969,0.3634367031,20000.0000000000,10928.9617486339
2523,2025-03-30,2025,STATUS_FINAL,29,3,Toronto Blue Jays,Baltimore Orioles,3.0000000000,1.0000000000,2.0000000000,1,1,1,0,1,-1.5000000000,155,2.5500000000,1,1.5000000000,-171,1.5847953216,0,0,0.4738281665,0.5261718335,3.5766133886,2.0766133886,5.0766133886,0.3921568627,0.6309963100,0.0816713037,-0.1048244765,0.2082618246,-0.1661253399,2,0,1,0,0.6269033931,0.3730966069,20000.0000000000,-20000.0000000000
2525,2025-03-30,2025,STATUS_FINAL,19,16,New York Yankees,Milwaukee Brewers,12.0000000000,3.0000000000,9.0000000000,1,1,1,2,0,-1.5000000000,145,2.4500000000,1,1.5000000000,-170,1.5882352941,0,0,0.4990570273,0.5009429727,3.5888529951,2.0888529951,5.0888529951,0.4081632653,0.6296296296,0.0908937620,-0.1286866569,0.2226897168,-0.2043846904,3,3,1,0,0.6122277919,0.3877722081,20000.0000000000,-20000.0000000000
2534,2025-03-30,2025,STATUS_FINAL,23,2,San Diego Padres,Atlanta Braves,5.0000000000,0.0000000000,5.0000000000,1,1,1,3,0,-1.5000000000,160,2.6000000000,1,1.5000000000,-185,1.5405405405,0,0,0.4531391414,0.5468608586,3.6092623038,2.1092623038,5.1092623038,0.3846153846,0.6491228070,0.0685237568,-0.1022619484,0.1781617677,-0.1575386773,4,2,1,0,0.6404517673,0.3595482327,20000.0000000000,-20000.0000000000
3339,2025-04-02,2025,STATUS_FINAL,27,22,Tampa Bay Rays,Pittsburgh Pirates,2.0000000000,4.0000000000,2.0000000000,0,1,1,3,0,1.5000000000,-177,1.5649717514,0,-1.5000000000,161,2.6100000000,1,1,0.5482264282,0.4517735718,3.4335561331,4.9335561331,1.9335561331,0.6389891697,0.3831417625,-0.0907627415,0.0686318094,-0.1420411265,0.1791290224,3,0,0,1,0.3702435518,0.6297564482,20000.0000000000,-20000.0000000000
